GeneID	MeanExpLev	Period	Phase	Beta	pMMC-Beta
HanXRQChr09g0255471	5.1183E+00	2.5300E+01	-1.0879E+01	8.9708E-01	1.0838E-03
HanXRQChr03g0070521	4.0152E+00	2.7000E+01	5.4000E+00	1.5926E+00	1.0838E-03
HanXRQChr16g0524321	1.3240E+00	2.3300E+01	-9.3200E+00	5.5979E-01	1.0838E-03
HanXRQChr09g0244251	5.5750E+01	2.4000E+01	3.6000E+00	1.9409E+01	1.0838E-03
HanXRQChr09g0276981	2.9062E+00	2.4500E+01	7.5950E+00	1.1682E+00	1.0852E-03
HanXRQChr15g0481721	1.4056E+00	2.5200E+01	-9.8280E+00	5.8675E-01	1.0866E-03
HanXRQChr15g0469851	2.0661E+01	2.4100E+01	-2.4100E-01	2.9501E+01	1.0866E-03
HanXRQChr02g0031881	1.5694E-01	2.7000E+01	-9.9900E+00	1.1103E-01	1.0866E-03
HanXRQChr13g0424571	1.5872E+02	2.5000E+01	2.2500E+00	6.6883E+01	1.0866E-03
HanXRQChr03g0073921	6.5717E+01	2.2400E+01	2.0160E+00	7.4910E+00	1.0866E-03
HanXRQChr11g0346501	2.2601E+01	2.3100E+01	5.5440E+00	3.7419E+00	1.0866E-03
HanXRQChr05g0145061	1.1451E+01	2.6100E+01	-1.0179E+01	2.9310E+00	1.0866E-03
HanXRQChr09g0277111	4.9825E+01	2.4400E+01	1.2200E+01	8.5380E+00	1.0866E-03
HanXRQChr09g0256681	2.7005E+01	2.4400E+01	7.3200E+00	1.0151E+01	1.0866E-03
HanXRQChr04g0125931	1.1522E+01	2.5200E+01	1.2348E+01	2.0262E+00	1.0866E-03
HanXRQChr04g0111881	2.2395E+01	2.3300E+01	9.3200E-01	6.2661E+00	1.0881E-03
HanXRQChr14g0459071	1.4439E+01	2.4500E+01	7.8400E+00	2.7340E+00	1.0895E-03
HanXRQChr04g0116651	4.6888E+00	2.5900E+01	4.1440E+00	3.3698E+00	1.0895E-03
HanXRQChr15g0495951	4.1510E+01	2.4800E+01	3.7200E+00	1.8013E+01	1.0895E-03
